Wall time,Step,Value
1566338357.3892977,0,0.18626412749290466
1566338358.1409698,1,0.4034251272678375
1566338358.8682253,2,0.4330420196056366
1566338359.5927978,3,0.5936175584793091
1566338360.3286252,4,0.6118467450141907
1566338361.063279,5,0.6232344508171082
1566338361.7884352,6,0.7017567157745361
1566338362.5453572,7,0.6893538236618042
1566338363.2812016,8,0.6694915294647217
1566338364.0024486,9,0.7076271176338196
1566338364.7279825,10,0.7049788236618042
1566338365.4592907,11,0.7049788236618042
1566338366.1977086,12,0.7179996371269226
1566338366.9264576,13,0.7635946273803711
1566338367.6525195,14,0.7557821273803711
1566338368.3843067,15,0.7342867255210876
1566338369.1222863,16,0.7786017060279846
1566338369.8517492,17,0.7567532062530518
1566338370.5806398,18,0.7661546468734741
1566338371.3193548,19,0.7883563041687012
1566338372.04986,20,0.7655367255210876
1566338372.7785318,21,0.7763065099716187
1566338373.5091531,22,0.8023481369018555
1566338374.2315314,23,0.7427613139152527
1566338374.9554107,24,0.8170021176338196
1566338375.6831152,25,0.8039813041687012
1566338376.420104,26,0.786370038986206
1566338377.1592805,27,0.7837659120559692
1566338377.8873212,28,0.7932115197181702
1566338378.6161232,29,0.8111317157745361
1566338379.3512383,30,0.7867231369018555
1566338380.095464,31,0.8117938041687012
1566338380.8298116,32,0.7915784120559692
1566338381.5641968,33,0.7818238139152527
1566338382.3229868,34,0.7837659120559692
1566338383.0605388,35,0.809807538986206
1566338383.7937856,36,0.7948446273803711
1566338384.5325081,37,0.8147069215774536
1566338385.266205,38,0.8189442157745361
1566338386.030972,39,0.814397931098938
1566338386.762281,40,0.8023481369018555
1566338387.4965825,41,0.8170021176338196
1566338388.2268329,42,0.7860611081123352
1566338388.9537606,43,0.8140448331832886
1566338389.676135,44,0.8023481369018555
1566338390.409592,45,0.7971398234367371
1566338391.1489923,46,0.8160310983657837
1566338391.8756242,47,0.830685019493103
1566338392.6003954,48,0.8254767060279846
1566338393.3506002,49,0.814397931098938
1566338394.0803561,50,0.8251236081123352
1566338394.8197246,51,0.773040235042572
1566338395.5815647,52,0.8176642060279846
1566338396.3095312,53,0.8196063041687012
1566338397.0516565,54,0.8234904408454895
1566338397.772676,55,0.8101606369018555
1566338398.554259,56,0.8023481369018555
1566338399.2951949,57,0.7974488139152527
1566338400.0216162,58,0.7883563041687012
1566338400.755475,59,0.8192973136901855
1566338401.486754,60,0.8147069215774536
1566338402.2264805,61,0.7981109023094177
1566338402.9506955,62,0.8134269118309021
1566338403.6752124,63,0.814397931098938
1566338404.417853,64,0.7919315099716187
1566338405.1491218,65,0.8219015002250671
1566338405.885395,66,0.7932115197181702
1566338406.6345665,67,0.8381885886192322
1566338407.3760114,68,0.8231815099716187
1566338408.1040802,69,0.8114407062530518
1566338408.8389919,70,0.8078654408454895
1566338409.5722828,71,0.7775865197181702
1566338410.2977557,72,0.8127648234367371
1566338411.0222101,73,0.8160310983657837
1566338411.764792,74,0.7853990197181702
1566338412.5034552,75,0.8059234023094177
1566338413.2314463,76,0.7603284120559692
1566338413.9594207,77,0.8231815099716187
1566338414.6921759,78,0.8075565099716187
1566338415.4189763,79,0.832318127155304
1566338416.1548948,80,0.8127648234367371
1566338416.8861752,81,0.801995038986206
1566338417.6120613,82,0.8332892060279846
1566338418.3375256,83,0.8293609023094177
1566338419.0754454,84,0.7759534120559692
1566338419.8219223,85,0.8150159120559692
1566338420.5620027,86,0.8127648234367371
1566338421.3066132,87,0.8316560983657837
1566338422.0275435,88,0.8189442157745361
1566338422.753561,89,0.822872519493103
1566338423.5149431,90,0.7788665294647217
1566338424.2393343,91,0.8264477252960205
1566338424.9988847,92,0.8280808329582214
1566338425.7327178,93,0.832980215549469
1566338426.471622,94,0.8231815099716187
1566338427.1992266,95,0.8215484023094177
1566338427.9322178,96,0.8235346078872681
1566338428.6550093,97,0.8332892060279846
1566338429.3885922,98,0.8010240197181702
1566338430.117332,99,0.8075565099716187
1566338430.8536315,100,0.7867231369018555
1566338431.5807474,101,0.8381885886192322
1566338432.3114645,102,0.8016861081123352
1566338433.036326,103,0.8094986081123352
1566338433.7639482,104,0.8049523234367371
1566338434.487409,105,0.8212394118309021
1566338435.2226493,106,0.806585431098938
1566338435.9612346,107,0.8170021176338196
1566338436.693982,108,0.8212394118309021
1566338437.4256656,109,0.8254767060279846
1566338438.1609366,110,0.8160310983657837
1566338438.8982031,111,0.8433969020843506
1566338439.6309257,112,0.8290519118309021
1566338440.3671243,113,0.8173111081123352
1566338441.0970147,114,0.8238435983657837
1566338441.8292751,115,0.8134269118309021
1566338442.5739229,116,0.8225635886192322
1566338443.2992065,117,0.8153690099716187
1566338444.030827,118,0.8140890002250671
1566338444.7649333,119,0.8170021176338196
1566338445.4870622,120,0.825829803943634
1566338446.2188694,121,0.7996998429298401
1566338446.961457,122,0.8196063041687012
1566338447.702692,123,0.8101606369018555
1566338448.4407616,124,0.8264477252960205
1566338449.1898632,125,0.8153690099716187
1566338449.9186997,126,0.8134269118309021
1566338450.681591,127,0.8339512944221497
1566338451.4170098,128,0.8208863139152527
1566338452.1522563,129,0.8293609023094177
1566338452.879955,130,0.8196063041687012
1566338453.6122413,131,0.8078654408454895
1566338454.3445797,132,0.8248146176338196
1566338455.0844762,133,0.8417637944221497
1566338455.8111727,134,0.8248146176338196
1566338456.5356195,135,0.815060019493103
1566338457.2778301,136,0.8326271176338196
1566338458.008339,137,0.8238435983657837
1566338458.733979,138,0.825167715549469
1566338459.481672,139,0.8147069215774536
1566338460.229531,140,0.8163400292396545
1566338460.9783866,141,0.8404396176338196
1566338461.7148166,142,0.815060019493103
1566338462.463001,143,0.8257856369018555
1566338463.2140188,144,0.8476341962814331
1566338463.9773664,145,0.8189442157745361
1566338464.7245739,146,0.8319650292396545
1566338465.47336,147,0.8185911178588867
1566338466.198853,148,0.8335981369018555
