Wall time,Step,Value
1564866239.9591894,0,0.1693314015865326
1564866240.3013892,1,0.1705426424741745
1564866240.4979863,2,0.2982073724269867
1564866240.6619904,3,0.5422722697257996
1564866240.8268704,4,0.4895833432674408
1564866240.9964006,5,0.6411094665527344
1564866241.1660488,6,0.543483555316925
1564866241.3551714,7,0.48098352551460266
1564866241.5186687,8,0.4375
1564866241.6837323,9,0.6463178396224976
1564866241.8495235,10,0.7042151093482971
1564866242.0163229,11,0.541303277015686
1564866242.196661,12,0.44731104373931885
1564866242.3629966,13,0.6432897448539734
1564866242.529442,14,0.6683623790740967
1564866242.692989,15,0.7470930218696594
1564866242.8601298,16,0.6019864082336426
1564866243.0230045,17,0.7621123790740967
1564866243.1942918,18,0.6531007885932922
1564866243.3616314,19,0.7562984228134155
1564866243.5461426,20,0.6815649271011353
1564866243.714395,21,0.7905765771865845
1564866243.8794937,22,0.6555232405662537
1564866244.0641367,23,0.7464873790740967
1564866244.2295547,24,0.682776153087616
1564866244.393279,25,0.7939680218696594
1564866244.557027,26,0.7118459343910217
1564866244.7248468,27,0.7437015771865845
1564866244.8912528,28,0.7476986646652222
1564866245.0609763,29,0.745276153087616
1564866245.2270014,30,0.654312014579773
1564866245.411532,31,0.7645348906517029
1564866245.5761456,32,0.7464873790740967
1564866245.7492228,33,0.7841569781303406
1564866245.9301615,34,0.6996123790740967
1564866246.0968235,35,0.8009932041168213
1564866246.2683303,36,0.7222626209259033
1564866246.4417958,37,0.832848846912384
1564866246.611368,38,0.7332848906517029
1564866246.7741094,39,0.7923933863639832
1564866246.9395545,40,0.7535126209259033
1564866247.118761,41,0.8138323426246643
1564866247.283605,42,0.7192344665527344
1564866247.445148,43,0.7495155334472656
1564866247.6133893,44,0.7238371968269348
1564866247.7803392,45,0.8080183863639832
1564866247.9478805,46,0.7807655334472656
1564866248.1147919,47,0.8502907156944275
1564866248.277435,48,0.8092296719551086
1564866248.4436464,49,0.8306686282157898
1564866248.6150405,50,0.7713178396224976
1564866248.7800992,51,0.8346657156944275
1564866248.9475687,52,0.7697432041168213
1564866249.124693,53,0.8272771239280701
1564866249.2929873,54,0.7819767594337463
1564866249.5079281,55,0.8132267594337463
1564866249.679222,56,0.7430959343910217
