Wall time,Step,Value
1569016689.3034105,0,0.16301797330379486
1569016693.8551447,1,0.13886936008930206
1569016698.375898,2,0.11813656240701675
1569016702.8914945,3,0.10674163699150085
1569016707.411357,4,0.08980225771665573
1569016711.9379153,5,0.08548061549663544
1569016716.4425142,6,0.06577030569314957
1569016720.957047,7,0.05925169959664345
1569016725.4826353,8,0.05696183443069458
1569016730.006105,9,0.05536610633134842
1569016734.551245,10,0.05416293814778328
1569016739.065525,11,0.053556349128484726
1569016743.60132,12,0.05234828218817711
1569016748.1471775,13,0.050536587834358215
1569016752.6760418,14,0.04797894135117531
1569016757.190343,15,0.04645124450325966
1569016761.73324,16,0.04493642970919609
1569016766.2697687,17,0.04421015828847885
1569016770.7883623,18,0.04357103630900383
1569016775.3334682,19,0.04319322481751442
1569016779.8753371,20,0.04269453510642052
1569016784.418464,21,0.042012594640254974
1569016788.9387023,22,0.04182709380984306
1569016793.4651628,23,0.04132195562124252
1569016797.9839826,24,0.04116441309452057
1569016802.5382283,25,0.04118728265166283
1569016807.0599008,26,0.04049544036388397
1569016811.5620806,27,0.0406416654586792
1569016816.0723348,28,0.04056845232844353
1569016820.6035504,29,0.0404520258307457
1569016825.1412785,30,0.03954154625535011
1569016829.6715293,31,0.039695605635643005
1569016834.203124,32,0.0397491380572319
1569016838.7311647,33,0.039095938205718994
1569016843.265931,34,0.03939421847462654
1569016847.7860827,35,0.03903445228934288
1569016852.3179224,36,0.03868979960680008
1569016856.8506057,37,0.03900134563446045
1569016861.391712,38,0.038706324994564056
1569016865.9124126,39,0.039159320294857025
1569016870.4534476,40,0.03860180452466011
1569016875.0257587,41,0.03783078119158745
1569016879.5598402,42,0.03802619129419327
1569016884.0885642,43,0.037836953997612
1569016888.6220896,44,0.03789791837334633
1569016893.1922045,45,0.03799264132976532
1569016897.7052915,46,0.037864431738853455
1569016902.2546904,47,0.03769032657146454
1569016906.774812,48,0.03708654269576073
1569016911.2988164,49,0.037556614726781845
1569016915.8320022,50,0.03753809258341789
1569016920.3705204,51,0.03740425780415535
1569016924.9284232,52,0.03718942403793335
1569016929.5141125,53,0.036709368228912354
1569016934.0418448,54,0.036892302334308624
1569016938.567002,55,0.03711302950978279
1569016943.1127577,56,0.03667701780796051
1569016947.6400712,57,0.036687709391117096
1569016952.1769342,58,0.03631279245018959
1569016956.7022426,59,0.03661404922604561
1569016961.2384865,60,0.036127302795648575
1569016965.800129,61,0.036726582795381546
1569016970.3461654,62,0.03584381937980652
1569016974.8990357,63,0.036189887672662735
1569016979.4323833,64,0.036277931183576584
1569016983.9818256,65,0.03629906848073006
1569016988.5105002,66,0.036163896322250366
1569016993.0370817,67,0.0355733297765255
1569016997.5630174,68,0.036303892731666565
1569017002.099176,69,0.036449119448661804
1569017006.6118503,70,0.035896193236112595
1569017011.1460052,71,0.03591768816113472
1569017015.6831844,72,0.035748761147260666
1569017020.2253673,73,0.035896629095077515
1569017024.778471,74,0.03584461659193039
1569017029.3288848,75,0.035316746681928635
1569017033.88535,76,0.03511326014995575
1569017038.4072454,77,0.0363859124481678
1569017042.9397755,78,0.03551466017961502
1569017047.487113,79,0.03506219759583473
1569017052.023913,80,0.0356421172618866
1569017056.5484824,81,0.03514869883656502
1569017061.085496,82,0.03502054512500763
1569017065.6170797,83,0.035155538469552994
1569017070.1415176,84,0.03525669872760773
