Wall time,Step,Value
1564937320.7907515,0,0.12557603418827057
1564937340.2778604,1,0.12314096838235855
1564937359.680715,2,0.15590088069438934
1564937379.1205955,3,0.14994414150714874
1564937398.607864,4,0.13473153114318848
1564937418.060225,5,0.2720726728439331
1564937437.509933,6,0.10776689648628235
1564937456.9642384,7,0.20176564157009125
1564937476.4226546,8,0.33448103070259094
1564937495.8701007,9,0.24838535487651825
1564937515.236091,10,0.23468701541423798
1564937534.6432629,11,0.2874423861503601
1564937554.0344083,12,0.33296239376068115
1564937573.4661639,13,0.34237101674079895
1564937592.8603966,14,0.3890867233276367
1564937612.2547843,15,0.20403487980365753
1564937631.6643531,16,0.3947990834712982
1564937651.088365,17,0.39076247811317444
1564937670.5284474,18,0.33422794938087463
1564937689.9869003,19,0.359595388174057
1564937709.4087043,20,0.4277990162372589
1564937728.8109198,21,0.36639872193336487
1564937748.1774807,22,0.4250279366970062
1564937767.6045694,23,0.2316715568304062
1564937787.0625782,24,0.42351365089416504
1564937806.491334,25,0.5019681453704834
1564937825.8894255,26,0.4106706380844116
1564937845.389737,27,0.2492188662290573
1564937864.7953265,28,0.09852848947048187
1564937884.1755517,29,0.21335619688034058
1564937903.5659592,30,0.14615626633167267
1564937922.9507256,31,0.19311200082302094
1564937942.4038746,32,0.1527894139289856
1564937961.855073,33,0.13859796524047852
1564937981.2225683,34,0.16976068913936615
1564938000.6708925,35,0.19084276258945465
1564938020.0950391,36,0.24847263097763062
1564938039.5264773,37,0.20075757801532745
1564938058.931619,38,0.2254529744386673
1564938078.3462102,39,0.2170524299144745
1564938097.7298427,40,0.24116307497024536
1564938117.219214,41,0.3532109558582306
1564938136.6592898,42,0.34582722187042236
1564938156.102973,43,0.3700120449066162
1564938175.5971014,44,0.1713578701019287
1564938195.004699,45,0.1158357784152031
1564938214.3857846,46,0.20999161899089813
1564938233.8484154,47,0.19546851515769958
1564938253.2926457,48,0.1267499327659607
1564938272.6510375,49,0.13557377457618713
1564938292.0164566,50,0.13431696593761444
1564938311.4558809,51,0.12717323005199432
1564938330.8617685,52,0.15665148198604584
1564938350.3024676,53,0.22385577857494354
1564938369.7580352,54,0.14431032538414001
1564938389.1755462,55,0.1197851225733757
1564938408.6395118,56,0.1393572837114334
1564938428.0310214,57,0.12272203713655472
1564938447.4341526,58,0.1356610506772995
1564938466.8552864,59,0.2204912006855011
1564938486.3601534,60,0.119532011449337
1564938505.7668223,61,0.13028033077716827
1564938525.2287233,62,0.2604734003543854
1564938544.6457992,63,0.16026917099952698
1564938564.0538523,64,0.19051110744476318
1564938583.4722128,65,0.23645876348018646
1564938602.962108,66,0.11549539119005203
1564938622.4063697,67,0.15589652955532074
1564938641.8204005,68,0.16647902131080627
1564938661.3000646,69,0.1832844614982605
1564938680.7815897,70,0.1827782392501831
1564938700.211414,71,0.0895431861281395
1564938719.6521266,72,0.17144079506397247
1564938739.1164951,73,0.0843370333313942
1564938758.5587232,74,0.13313433527946472
1564938778.0043344,75,0.1585017740726471
1564938797.4202824,76,0.11969783902168274
1564938816.8785625,77,0.09105309844017029
1564938836.2493453,78,0.10281385481357574
1564938855.6845856,79,0.12355990707874298
1564938875.138696,80,0.10877932608127594
1564938894.549185,81,0.2730763852596283
1564938913.9901886,82,0.10777126252651215
1564938933.438542,83,0.14070136845111847
1564938952.92975,84,0.08895841985940933
1564938972.3103263,85,0.1381790190935135
1564938991.7415767,86,0.1286831498146057
1564939011.2123806,87,0.1911831498146057
1564939030.6534836,88,0.22217130661010742
1564939050.0140758,89,0.16076664626598358
1564939069.438348,90,0.14405721426010132
1564939088.842659,91,0.2527492642402649
1564939108.2077246,92,0.1401035189628601
1564939127.674313,93,0.10171414911746979
1564939147.0859208,94,0.12877042591571808
1564939166.5325193,95,0.1765683889389038
1564939185.9190733,96,0.14119885861873627
1564939205.3671691,97,0.1426302194595337
1564939224.7230878,98,0.14901462197303772
1564939244.1954827,99,0.1301974207162857
1564939263.5404098,100,0.12238601595163345
1564939282.984291,101,0.15035435557365417
1564939302.4063663,102,0.20252059400081635
1564939321.814398,103,0.14792364835739136
1564939341.2582772,104,0.12709031999111176
1564939360.6570709,105,0.10373900085687637
1564939380.0662863,106,0.10583367943763733
1564939399.520717,107,0.20646993815898895
1564939418.9671612,108,0.17739753425121307
1564939438.3710914,109,0.13154150545597076
1564939457.8270745,110,0.14749161899089813
1564939477.233803,111,0.11054234951734543
1564939496.6800144,112,0.15312543511390686
1564939516.0702896,113,0.17017962038516998
1564939535.4550445,114,0.15338291227817535
1564939554.9221232,115,0.08744414150714874
1564939574.3523324,116,0.10298404842615128
1564939593.7561119,117,0.17278051376342773
1564939613.2111533,118,0.13389365375041962
1564939632.6052623,119,0.12541021406650543
1564939652.0269248,120,0.09659963846206665
1564939671.472267,121,0.12162669003009796
1564939690.8940523,122,0.18118540942668915
1564939710.3098514,123,0.1699265092611313
1564939729.7623193,124,0.09685274213552475
1564939749.226778,125,0.1369178593158722
1564939768.6389868,126,0.11868541687726974
1564939788.0406907,127,0.1595098376274109
1564939807.4454453,128,0.16278713941574097
1564939826.9020364,129,0.24880865216255188
1564939846.344764,130,0.18563224375247955
1564939865.7732637,131,0.11281158030033112
1564939885.2025542,132,0.11264139413833618
1564939904.6965091,133,0.15765954554080963
1564939924.0781207,134,0.08971337974071503
1564939943.512415,135,0.13179025053977966
1564939962.9622815,136,0.14438888430595398
1564939982.4146845,137,0.15590088069438934
1564940001.8365738,138,0.12120775878429413
1564940021.228726,139,0.16085828840732574
1564940040.65146,140,0.14270876348018646
1564940060.0368338,141,0.12902353703975677
1564940079.4700015,142,0.16749581694602966
