Wall time,Step,Value
1564867808.456152,0,0.16194282472133636
1564867812.3618703,1,0.16194282472133636
1564867816.5464807,2,0.15649224817752838
1564867820.4665146,3,0.15952034294605255
1564867824.3156445,4,0.15830910205841064
1564867828.3832786,5,0.15709786117076874
1564867832.5432372,6,0.15310077369213104
1564867836.796999,7,0.14668120443820953
1564867840.8105059,8,0.14789244532585144
1564867844.9933183,9,0.176962211728096
1564867848.9475017,10,0.21984010934829712
1564867853.1371994,11,0.19718992710113525
1564867857.3597937,12,0.19379845261573792
1564867861.5753655,13,0.1797480583190918
1564867865.7693074,14,0.1629118174314499
1564867869.8523753,15,0.14789244532585144
1564867873.7163239,16,0.1705426424741745
1564867877.67194,17,0.19476744532585144
1564867881.7751412,18,0.23607073724269867
1564867886.063201,19,0.21584302186965942
1564867890.1518228,20,0.22226259112358093
1564867894.355043,21,0.2761628031730652
1564867898.1678588,22,0.2761628031730652
1564867902.4602299,23,0.29881298542022705
1564867906.3557007,24,0.32764050364494324
1564867910.62295,25,0.28476259112358093
1564867914.8189726,26,0.16812016069889069
1564867919.1007633,27,0.18859010934829712
1564867923.3846233,28,0.2162064015865326
1564867927.5140736,29,0.23788759112358093
1564867931.6471152,30,0.4819525182247162
1564867935.6933134,31,0.4623304307460785
1564867939.903461,32,0.41581881046295166
1564867944.089626,33,0.37294089794158936
1564867948.286965,34,0.28997093439102173
1564867952.3493507,35,0.3671269416809082
1564867956.4389641,36,0.36252421140670776
1564867960.5248916,37,0.5330668687820435
1564867964.4212253,38,0.3955910801887512
1564867968.6062334,39,0.3154069781303406
1564867972.9290037,40,0.478924423456192
1564867977.0287333,41,0.356710284948349
1564867981.355009,42,0.5266472697257996
1564867985.4720242,43,0.41739341616630554
1564867989.25253,44,0.341085284948349
1564867992.9967737,45,0.4467054307460785
1564867997.0810766,46,0.5603197813034058
1564868001.2835462,47,0.28875967860221863
1564868005.3881733,48,0.44888564944267273
1564868009.6689126,49,0.3631298542022705
1564868013.5514593,50,0.39377421140670776
1564868017.71831,51,0.6276647448539734
1564868021.8141043,52,0.471535861492157
1564868025.8943772,53,0.33926841616630554
1564868030.0910294,54,0.49418604373931885
1564868034.2464492,55,0.5220445990562439
1564868038.1317358,56,0.5609253644943237
1564868042.2360158,57,0.5210756063461304
1564868046.2711277,58,0.6160368323326111
1564868050.4080763,59,0.5406976938247681
1564868054.6277828,60,0.6084060072898865
1564868058.9085324,61,0.5985949635505676
1564868063.0278873,62,0.666545569896698
1564868066.9409752,63,0.5186530947685242
1564868070.8665638,64,0.5707364082336426
1564868075.1475408,65,0.5058139562606812
1564868079.355538,66,0.6328730583190918
1564868083.356312,67,0.6340842843055725
1564868087.1860228,68,0.5098110437393188
1564868091.4296603,69,0.5811530947685242
1564868095.5572655,70,0.632267415523529
1564868099.6636782,71,0.6380813717842102
1564868103.693694,72,0.663517415523529
1564868107.592709,73,0.6959787011146545
1564868111.899242,74,0.6031976938247681
1564868115.7994514,75,0.7128149271011353
1564868119.8814516,76,0.6432897448539734
1564868124.0172725,77,0.7128149271011353
1564868128.0808218,78,0.7023982405662537
1564868132.0021133,79,0.7461240291595459
1564868136.0259893,80,0.654312014579773
1564868139.9893646,81,0.5759447813034058
1564868144.294525,82,0.726865291595459
1564868148.0108657,83,0.6959787011146545
1564868151.815209,84,0.754723846912384
1564868156.042965,85,0.7036094665527344
1564868160.200348,86,0.6610949635505676
1564868164.1979609,87,0.7208091020584106
1564868167.9787738,88,0.6787790656089783
1564868172.0335662,89,0.7320736646652222
1564868176.049693,90,0.7366763353347778
1564868180.35046,91,0.6567344665527344
1564868184.2131298,92,0.5961724519729614
1564868188.1807437,93,0.6739341020584106
1564868192.418671,94,0.6723594665527344
1564868196.7457724,95,0.7210513353347778
1564868200.7942026,96,0.7180232405662537
1564868204.700082,97,0.7063953280448914
1564868208.5080352,98,0.714026153087616
1564868212.3150196,99,0.7100290656089783
1564868216.50957,100,0.7250484228134155
1564868220.5571163,101,0.741884708404541
1564868224.644444,102,0.7023982405662537
1564868228.8156211,103,0.6879844665527344
1564868232.7602358,104,0.7388566136360168
1564868236.8127818,105,0.723473846912384
1564868240.8629713,106,0.7621123790740967
1564868245.0034928,107,0.6935561895370483
1564868249.1522825,108,0.7667151093482971
1564868253.2739406,109,0.7238371968269348
1564868257.5225544,110,0.7378876209259033
1564868261.5683312,111,0.7400678396224976
1564868265.6868386,112,0.713420569896698
1564868269.7288508,113,0.7094234228134155
1564868273.7795954,114,0.7088178396224976
1564868278.0791593,115,0.6919816136360168
1564868282.3173535,116,0.7449128031730652
1564868286.306153,117,0.7400678396224976
1564868290.1526291,118,0.7070009708404541
1564868294.1237767,119,0.7280765771865845
1564868297.8326786,120,0.7186288833618164
1564868301.616579,121,0.714026153087616
1564868305.7173555,122,0.7176598906517029
1564868309.8631482,123,0.7210513353347778
1564868314.013398,124,0.770348846912384
1564868318.1346626,125,0.7164486646652222
1564868321.9296963,126,0.7364341020584106
1564868326.1166801,127,0.7302567958831787
1564868329.851778,128,0.7476986646652222
1564868333.760454,129,0.6775678396224976
1564868337.7725494,130,0.7070009708404541
1564868341.6733062,131,0.7256540656089783
1564868345.739453,132,0.714026153087616
1564868349.8171892,133,0.7483042478561401
1564868353.4742243,134,0.7057897448539734
1564868357.3851535,135,0.758115291595459
1564868361.3981192,136,0.7464873790740967
1564868365.2725828,137,0.7400678396224976
1564868369.3481495,138,0.714026153087616
1564868373.5764236,139,0.741884708404541
1564868377.8358822,140,0.7320736646652222
